Node Category,Node Name,Software Make,Software Description,Software Version,CVE Number,NVD Score
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20269,9.1
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20256,5.8
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20247,4.3
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20200,6.3
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20095,8.6
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20015,6.7
boundary defense and system administrator rack,Firewall,Cisco,FirePower 4125 Next Generation Firewall with Firepower Threat Defense (FTD) Software,6.6.7,CVE-2023-20934,7.8
boundary defense and system administrator rack,System Administrator Terminal,Cisco,Meraki MS425-32 Layer 3 Switch (firmware 2014-09-23),9/23/2014,CVE-2018-0284,6.5
boundary defense and system administrator rack,System Administrator Terminal,Cisco,Meraki MS425-32 Layer 3 Switch (firmware 2014-09-23),9/23/2014,CVE-2014-7999,7.7
boundary defense and system administrator rack,System Administrator Terminal,Cisco,Meraki MS425-32 Layer 3 Switch (firmware 2014-09-23),9/23/2014,CVE-2014-7993,3.3
boundary defense and system administrator rack,System Administrator Terminal,Cisco,Meraki MS425-32 Layer 3 Switch (firmware 2014-09-23),9/23/2014,CVE-2014-7994,5.4
boundary defense and system administrator rack,System Administrator Terminal,Cisco,Meraki MS425-32 Layer 3 Switch (firmware 2014-09-23),9/23/2014,CVE-2014-7994,5.4
boundary defense and system administrator rack,Ethernet Switch,Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
boundary defense and system administrator rack,Ethernet Switch,Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
boundary defense and system administrator rack,Ethernet Switch,Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
boundary defense and system administrator rack,Ethernet Switch,Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 5.0,CVE-2012-2697,4.9
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 5.0,CVE-2012-3440,5.6
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 5.0,CVD-2010-0727,4.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 7.1,CVD-2015-7833,4.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,McAfee,VirusScan Enterprise,2,CVE-2020-7337,6.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,McAfee,VirusScan Enterprise,2,CVE-2009-5118,9.3
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,McAfee,VirusScan Enterprise,2,CVE-2007-2152,7.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Tenable,Nessus Vulnerability Scanner,8.10.0,CVE-2023-0101,8.8
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Tenable,Nessus Vulnerability Scanner,8.10.0,CVE-2021-20135,6.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Tenable,Nessus Vulnerability Scanner,8.10.0,CVE-2020-5765,5.4
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2024-23675,6.5
