Node,Software Make,Software Description,Software Version,CVE Number,NVD Score
"Test Engineering, Laptop 1",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-2697,4.9
"Test Engineering, Laptop 1",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-3440,5.6
"Test Engineering, Laptop 1",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVD-2010-0727,4.9
"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
"Test Engineering, Laptop 2",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-2697,4.9
"Test Engineering, Laptop 2",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-3440,5.6
"Test Engineering, Laptop 2",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVD-2010-0727,4.9
"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
