Node,Software Make,Software Description,Software Version,CVE Number,NVD Score
"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
Engineering & Production SAN Archive 1,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Engineering & Production SAN Archive 2,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Engineering & Production SAN Archive 1 Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Engineering & Production SAN Archive 2 Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Test SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Test SAN Archive Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Cybersecurity Capability & Tools SAN Archive Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Company Management SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
Company Management SAN Archive Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
